ts_code,trade_time,close,open,high,low,vol,amount
510300.SH,2026-06-01 09:30:00,4.923,4.923,4.923,4.923,3103700.0,15279515.0
510300.SH,2026-06-01 09:31:00,4.924,4.924,4.929,4.92,7844300.0,38632620.0
510300.SH,2026-06-01 09:32:00,4.916,4.922,4.925,4.915,4807000.0,23659244.0
510300.SH,2026-06-01 09:33:00,4.917,4.917,4.919,4.916,11349200.0,55803820.0
510300.SH,2026-06-01 09:34:00,4.913,4.917,4.917,4.91,6281900.0,30870864.0
510300.SH,2026-06-01 09:35:00,4.905,4.912,4.912,4.904,9570100.0,46986770.0
510300.SH,2026-06-01 09:36:00,4.908,4.904,4.908,4.896,8072200.0,39567370.0
510300.SH,2026-06-01 09:37:00,4.904,4.908,4.908,4.904,2886900.0,14161572.0
510300.SH,2026-06-01 09:38:00,4.897,4.903,4.903,4.895,5879800.0,28811740.0
510300.SH,2026-06-01 09:39:00,4.9,4.898,4.903,4.897,3668200.0,17976900.0
510300.SH,2026-06-01 09:40:00,4.898,4.898,4.899,4.892,7918300.0,38758416.0
510300.SH,2026-06-01 09:41:00,4.893,4.898,4.9,4.893,5599300.0,27413104.0
510300.SH,2026-06-01 09:42:00,4.9,4.892,4.9,4.889,7813800.0,38257936.0
510300.SH,2026-06-01 09:43:00,4.905,4.901,4.906,4.9,4289300.0,21028124.0
510300.SH,2026-06-01 09:44:00,4.911,4.905,4.911,4.901,3624700.0,17789544.0
510300.SH,2026-06-01 09:45:00,4.915,4.91,4.916,4.908,2679500.0,13159426.0
510300.SH,2026-06-01 09:46:00,4.921,4.916,4.922,4.916,2934200.0,14436972.0
510300.SH,2026-06-01 09:47:00,4.914,4.92,4.92,4.912,2289300.0,11255577.0
510300.SH,2026-06-01 09:48:00,4.915,4.914,4.915,4.911,2289900.0,11251027.0
510300.SH,2026-06-01 09:49:00,4.922,4.915,4.923,4.915,3412300.0,16793934.0
510300.SH,2026-06-01 09:50:00,4.924,4.92,4.924,4.919,1676700.0,8252242.0
510300.SH,2026-06-01 09:51:00,4.922,4.922,4.924,4.921,3193500.0,15719152.0
510300.SH,2026-06-01 09:52:00,4.924,4.924,4.927,4.924,4056700.0,19978068.0
510300.SH,2026-06-01 09:53:00,4.927,4.925,4.927,4.924,4030832.0,19856228.0
510300.SH,2026-06-01 09:54:00,4.925,4.927,4.928,4.923,1566000.0,7713399.0
510300.SH,2026-06-01 09:55:00,4.931,4.926,4.932,4.926,4034700.0,19888200.0
510300.SH,2026-06-01 09:56:00,4.93,4.931,4.932,4.929,2004100.0,9879469.0
510300.SH,2026-06-01 09:57:00,4.924,4.926,4.926,4.923,2397800.0,11809699.0
510300.SH,2026-06-01 09:58:00,4.927,4.924,4.927,4.923,2012400.0,9911704.0
510300.SH,2026-06-01 09:59:00,4.924,4.927,4.927,4.923,634000.0,3121727.0
510300.SH,2026-06-01 10:00:00,4.923,4.925,4.926,4.923,1121100.0,5520479.0
510300.SH,2026-06-01 10:01:00,4.926,4.922,4.926,4.921,1977400.0,9735630.0
510300.SH,2026-06-01 10:02:00,4.927,4.924,4.928,4.923,1144800.0,5638300.0
510300.SH,2026-06-01 10:03:00,4.928,4.928,4.93,4.928,1069400.0,5270421.0
510300.SH,2026-06-01 10:04:00,4.93,4.928,4.934,4.928,3241700.0,15986176.0
510300.SH,2026-06-01 10:05:00,4.932,4.93,4.933,4.93,1191095.0,5873762.0
510300.SH,2026-06-01 10:06:00,4.93,4.932,4.933,4.93,1913800.0,9440664.0
510300.SH,2026-06-01 10:07:00,4.933,4.931,4.933,4.93,1543400.0,7612250.0
510300.SH,2026-06-01 10:08:00,4.935,4.934,4.936,4.934,3558805.0,17563344.0
510300.SH,2026-06-01 10:09:00,4.93,4.935,4.935,4.93,2355200.0,11614716.0
510300.SH,2026-06-01 10:10:00,4.926,4.931,4.931,4.926,1110605.0,5475551.0
510300.SH,2026-06-01 10:11:00,4.923,4.927,4.927,4.923,950400.0,4680567.0
510300.SH,2026-06-01 10:12:00,4.922,4.924,4.924,4.921,1509300.0,7428252.0
510300.SH,2026-06-01 10:13:00,4.927,4.923,4.927,4.922,2344020.0,11542557.0
510300.SH,2026-06-01 10:14:00,4.93,4.927,4.933,4.927,5050500.0,24897836.0
510300.SH,2026-06-01 10:15:00,4.931,4.931,4.933,4.931,2764300.0,13633162.0
510300.SH,2026-06-01 10:16:00,4.933,4.931,4.934,4.931,811800.0,4003598.0
510300.SH,2026-06-01 10:17:00,4.937,4.933,4.937,4.933,3115400.0,15374614.0
510300.SH,2026-06-01 10:18:00,4.938,4.938,4.94,4.937,2960700.0,14621123.0
510300.SH,2026-06-01 10:19:00,4.938,4.938,4.938,4.936,1434200.0,7081352.0
510300.SH,2026-06-01 10:20:00,4.938,4.937,4.939,4.936,737000.0,3639071.0
510300.SH,2026-06-01 10:21:00,4.935,4.938,4.938,4.935,503800.0,2487024.0
510300.SH,2026-06-01 10:22:00,4.937,4.935,4.939,4.935,957100.0,4725319.0
510300.SH,2026-06-01 10:23:00,4.936,4.938,4.938,4.934,2604300.0,12856718.0
510300.SH,2026-06-01 10:24:00,4.937,4.936,4.939,4.936,1474100.0,7278620.0
510300.SH,2026-06-01 10:25:00,4.934,4.938,4.938,4.934,573600.0,2830775.0
510300.SH,2026-06-01 10:26:00,4.93,4.934,4.935,4.93,1223400.0,6034671.0
510300.SH,2026-06-01 10:27:00,4.93,4.931,4.932,4.929,961100.0,4738513.0
510300.SH,2026-06-01 10:28:00,4.927,4.929,4.93,4.926,1311800.0,6464910.0
510300.SH,2026-06-01 10:29:00,4.927,4.926,4.927,4.925,992300.0,4887651.0
510300.SH,2026-06-01 10:30:00,4.924,4.926,4.926,4.923,1565700.0,7709508.0
510300.SH,2026-06-01 10:31:00,4.924,4.923,4.924,4.922,850800.0,4188134.0
510300.SH,2026-06-01 10:32:00,4.922,4.925,4.925,4.922,764500.0,3763612.0
510300.SH,2026-06-01 10:33:00,4.92,4.922,4.923,4.918,2585000.0,12718804.0
510300.SH,2026-06-01 10:34:00,4.923,4.917,4.923,4.916,1770800.0,8711365.0
510300.SH,2026-06-01 10:35:00,4.923,4.921,4.923,4.92,1246300.0,6133108.0
510300.SH,2026-06-01 10:36:00,4.924,4.922,4.925,4.921,802600.0,3951252.0
510300.SH,2026-06-01 10:37:00,4.924,4.924,4.925,4.924,374300.0,1843129.0
510300.SH,2026-06-01 10:38:00,4.922,4.925,4.926,4.922,2264300.0,11150437.0
510300.SH,2026-06-01 10:39:00,4.915,4.922,4.922,4.914,2244300.0,11034453.0
510300.SH,2026-06-01 10:40:00,4.914,4.915,4.917,4.913,1754400.0,8622595.0
510300.SH,2026-06-01 10:41:00,4.907,4.914,4.914,4.907,2782300.0,13661952.0
510300.SH,2026-06-01 10:42:00,4.907,4.908,4.908,4.906,1376000.0,6751881.0
510300.SH,2026-06-01 10:43:00,4.901,4.905,4.905,4.9,3937100.0,19300994.0
510300.SH,2026-06-01 10:44:00,4.903,4.901,4.903,4.901,2213100.0,10846985.0
510300.SH,2026-06-01 10:45:00,4.898,4.903,4.903,4.897,3834600.0,18788516.0
510300.SH,2026-06-01 10:46:00,4.897,4.897,4.899,4.896,2314300.0,11334334.0
510300.SH,2026-06-01 10:47:00,4.898,4.898,4.9,4.898,1804400.0,8838194.0
510300.SH,2026-06-01 10:48:00,4.895,4.901,4.901,4.895,3820300.0,18706720.0
510300.SH,2026-06-01 10:49:00,4.893,4.895,4.897,4.893,2091800.0,10236335.0
510300.SH,2026-06-01 10:50:00,4.899,4.892,4.899,4.892,980300.0,4800674.0
510300.SH,2026-06-01 10:51:00,4.895,4.899,4.9,4.895,1789800.0,8764361.0
510300.SH,2026-06-01 10:52:00,4.892,4.896,4.896,4.891,1708400.0,8360512.0
510300.SH,2026-06-01 10:53:00,4.888,4.892,4.892,4.887,7419900.0,36279104.0
510300.SH,2026-06-01 10:54:00,4.889,4.888,4.891,4.888,2334900.0,11415267.0
510300.SH,2026-06-01 10:55:00,4.886,4.89,4.891,4.886,2306800.0,11275031.0
510300.SH,2026-06-01 10:56:00,4.888,4.887,4.889,4.887,2225300.0,10877243.0
510300.SH,2026-06-01 10:57:00,4.883,4.888,4.888,4.881,4373900.0,21363028.0
510300.SH,2026-06-01 10:58:00,4.883,4.883,4.885,4.882,1837400.0,8972463.0
510300.SH,2026-06-01 10:59:00,4.883,4.882,4.883,4.881,1950600.0,9522377.0
510300.SH,2026-06-01 11:00:00,4.881,4.882,4.883,4.88,5000800.0,24408012.0
510300.SH,2026-06-01 11:01:00,4.885,4.881,4.886,4.881,1330000.0,6495145.0
